egypt,egypt_israel,egypt_usa
lebanon,lebanon_usa,lebanon_israel,lebanon_egypt
saudi-arabia,saudi-arabia_usa,saudi-arabia_egypt,saudi-arabia_israel
iran,iran_usa,iran_egypt,iran_israel
uae,uae_usa,uae_israel,uae_egypt
north-korea,north-korea_israel,north-korea_usa,north-korea_egypt
afghanistan,afghanistan_israel,afghanistan_egypt,afghanistan_usa
usa,usa_egypt,usa_israel
france,france_usa,france_egypt,france_israel
palestine,palestine_israel,palestine_usa,palestine_egypt
israel,israel_egypt,israel_usa
australia,australia_israel,australia_egypt,australia_usa
columbia,columbia_usa,columbia_egypt,columbia_israel
cuba,cuba_egypt,cuba_usa,cuba_israel
china,china_usa,china_egypt,china_israel
belgium,belgium_israel,belgium_egypt,belgium_usa
iraq,iraq_usa,iraq_egypt,iraq_israel
ukraine,ukraine_israel,ukraine_egypt,ukraine_usa
deutschland,deutschland_usa,deutschland_israel,deutschland_egypt
uk,uk_israel,uk_egypt,uk_usa
switzerland,switzerland_israel,switzerland_egypt,switzerland_usa
russia,russia_usa,russia_israel,russia_egypt
